,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
91,mclean,2008,AUG,90.0,70.7741935484,52.0,81.0,61.064516129,49.0,100.0,73.3225806452,34.0,30.24,29.9958064516,29.75,10.0,8.87096774194,0.0,34.0,7.1935483871,0.72,7.0,0.0,3.0,5.0
92,mclean,2008,SEP,90.0,64.9333333333,45.0,73.0,56.9,41.0,100.0,77.7333333333,28.0,30.35,30.0946666667,29.46,15.0,8.2,0.0,23.0,7.43333333333,5.84,12.0,0.0,4.0,5.0
93,mclean,2008,OCT,83.0,53.1290322581,28.0,67.0,42.5483870968,18.0,100.0,68.8709677419,22.0,30.5,30.174516129,29.75,10.0,9.16129032258,0.0,33.0,10.0,1.08,10.0,1.0,2.0,0.0
94,mclean,2008,NOV,72.0,38.6666666667,14.0,57.0,30.9333333333,6.0,100.0,74.4,37.0,30.66,30.0736666667,29.25,10.0,8.76666666667,0.0,28.0,11.9666666667,0.0,6.0,5.0,2.0,0.0
95,mclean,2008,DEC,60.0,23.8709677419,-4.0,59.0,19.7096774194,-11.0,100.0,82.3225806452,53.0,30.75,30.1090322581,29.32,10.0,7.54838709677,0.0,40.0,13.8709677419,2.76,11.0,15.0,5.0,1.0
96,mclean,2009,JAN,46.0,17.2580645161,-22.0,45.0,12.5483870968,-27.0,100.0,79.1612903226,45.0,30.89,30.1116129032,29.36,10.0,7.70967741935,0.0,31.0,11.935483871,0.1,3.0,16.0,4.0,0.0
97,mclean,2009,FEB,63.0,30.0,0.0,54.0,23.8214285714,-5.0,100.0,78.0714285714,42.0,30.69,30.1285714286,29.21,10.0,8.07142857143,0.0,38.0,13.8214285714,2.19,6.0,8.0,6.0,3.0
98,mclean,2009,MAR,72.0,41.7419354839,10.0,59.0,31.7096774194,6.0,100.0,70.5483870968,22.0,30.74,30.1080645161,29.3,10.0,8.83870967742,0.0,45.0,12.9677419355,3.62,8.0,3.0,3.0,5.0
99,mclean,2009,ARP,82.0,49.5666666667,28.0,64.0,39.8333333333,19.0,100.0,71.6666666667,22.0,30.43,29.958,29.46,10.0,7.9,0.0,36.0,13.6333333333,5.28,14.0,2.0,6.0,4.0
100,mclean,2009,MAY,88.0,61.5161290323,38.0,70.0,49.4516129032,27.0,100.0,66.0322580645,19.0,30.42,29.9935483871,29.62,10.0,9.03225806452,0.0,32.0,9.58064516129,4.2,12.0,0.0,2.0,7.0
101,mclean,2009,JUN,95.0,71.6666666667,46.0,78.0,61.7,37.0,100.0,74.0666666667,33.0,30.14,29.8696666667,29.63,10.0,8.56666666667,0.0,45.0,9.56666666667,4.92,15.0,0.0,3.0,9.0
102,mclean,2009,JUL,86.0,69.3225806452,54.0,75.0,60.7419354839,48.0,100.0,75.6451612903,39.0,30.17,29.9609677419,29.7,10.0,8.87096774194,0.0,29.0,7.74193548387,3.76,6.0,0.0,2.0,6.0
103,mclean,2009,AUG,90.0,69.6129032258,47.0,77.0,62.7419354839,46.0,100.0,80.7741935484,44.0,30.32,30.0125806452,29.65,10.0,8.48387096774,0.0,37.0,8.1935483871,4.64,8.0,0.0,4.0,6.0
104,mclean,2009,SEP,83.0,64.3,45.0,70.0,56.8,37.0,100.0,81.3,37.0,30.35,30.0896666667,29.46,10.0,6.9,0.0,28.0,6.9,1.33,7.0,0.0,13.0,3.0
105,mclean,2009,OCT,68.0,48.5161290323,32.0,66.0,43.4838709677,23.0,100.0,83.9032258065,39.0,30.47,29.9858064516,29.39,10.0,7.32258064516,0.0,29.0,10.4193548387,9.73,16.0,0.0,1.0,3.0
